date,New York,San Francisco,Austin
20111001,64.00,56.20,75.90
20111001,68.10,55.70,82.10
20111001,69.30,54.30,80.50
20111001,70.00,55.20,70.00
20111001,69.30,54.30,71.20
20111001,66.30,52.90,70.30
20111001,67.00,54.80,72.10
20111001,72.80,54.80,73.70
20111001,67.20,56.80,72.70
20111001,62.10,55.40,71.70
20111001,64.00,55.80,72.90
20111001,65.50,55.90,73.10
20111001,65.70,52.80,75.60
20111001,60.40,54.50,78.30
20111001,63.20,53.30,78.30
20111001,68.50,53.60,79.60
20111001,69.20,52.10,76.40
20111001,68.70,52.60,77.20
20111001,62.50,53.90,75.20
20111001,62.30,55.10,71.90
